,JCODE,NO.,Region,Province,City/Municipality,INCOME CLASS,TOTAL POPULATION (PSA 2015),TOTAL HHs,HHs WITH ACCESS,HHs WITHOUT ACCESS,% HHs WITHOUT ACCESS,HH Size,POPULATION WITH ACCESS,POPULATION WITHOUT ACCESS,%,CODE
0,CARABRASALLAPADAN,20.0,CAR,ABRA,SALLAPADAN,5.0,6622.0,1103.6666666666667,1101.6666666666667,2.0,0.001812141347025068,6.0,6610.0,12.0,0.001812141347025068,ABRA SALLAPADAN
1,CARABRASAN ISIDRO,21.0,CAR,ABRA,SAN ISIDRO,5.0,4574.0,762.3333333333334,672.0,90.33333333333337,0.11849584608657635,6.0,4032.0,542.0,0.1184958460865763,ABRA SAN ISIDRO
2,CARABRASAN JUAN,22.0,CAR,ABRA,SAN JUAN,5.0,9867.0,1644.5,987.0,657.5,0.3998175737306172,6.0,5922.0,3945.0,0.3998175737306172,ABRA SAN JUAN
3,CARABRASAN QUINTIN,23.0,CAR,ABRA,SAN QUINTIN,5.0,5438.0,906.3333333333334,631.0,275.33333333333337,0.30378815741081283,6.0,3786.0,1652.0,0.3037881574108128,ABRA SAN QUINTIN
4,CARABRATAYUM,24.0,CAR,ABRA,TAYUM,5.0,14467.0,2411.1666666666665,1551.0,860.1666666666665,0.35674293219050246,6.0,9306.0,5161.0,0.3567429321905025,ABRA TAYUM
5,CARABRATINEG,25.0,CAR,ABRA,TINEG,2.0,5097.0,849.5,731.5,118.0,0.13890523837551502,6.0,4389.0,708.0,0.13890523837551502,ABRA TINEG
6,CARABRATUBO,26.0,CAR,ABRA,TUBO,4.0,5699.0,949.8333333333334,927.8333333333334,22.0,0.023161958238287417,6.0,5567.0,132.0,0.023161958238287417,ABRA TUBO
7,CARABRAVILLAVICIOSA,27.0,CAR,ABRA,VILLAVICIOSA,5.0,5392.0,898.6666666666666,876.6666666666666,22.0,0.02448071216617211,6.0,5260.0,132.0,0.024480712166172106,ABRA VILLAVICIOSA
8,REGION XIIIAGUSAN DEL NORTEBUENAVISTA,1307.0,REGION XIII,AGUSAN DEL NORTE,BUENAVISTA,1.0,61614.0,10269.0,6192.0,4077.0,0.3970201577563541,6.0,37152.0,24462.0,0.3970201577563541,AGUSAN DEL NORTE BUENAVISTA
9,,,,,,,,,,,0.1820488574586387,,,,0.1820488574586387,AGUSAN DEL NORTE BUTUAN CITY
10,,,,,,,,,,,0.1820488574586387,,,,0.1820488574586387,AGUSAN DEL NORTE CABADBARAN CITY
11,REGION XIIIAGUSAN DEL NORTECARMEN,1308.0,REGION XIII,AGUSAN DEL NORTE,CARMEN,4.0,20839.0,3473.1666666666665,3114.1666666666665,359.0,0.10336388502327368,6.0,18685.0,2154.0,0.10336388502327366,AGUSAN DEL NORTE CARMEN
12,REGION XIIIAGUSAN DEL NORTEJABONGA,1309.0,REGION XIII,AGUSAN DEL NORTE,JABONGA,3.0,23184.0,3864.0,3372.0,492.0,0.12732919254658384,6.0,20232.0,2952.0,0.12732919254658384,AGUSAN DEL NORTE JABONGA
13,REGION XIIIAGUSAN DEL NORTEKITCHARAO,1310.0,REGION XIII,AGUSAN DEL NORTE,KITCHARAO,4.0,18659.0,3109.8333333333335,2954.8333333333335,155.0,0.04984189935151937,6.0,17729.0,930.0,0.04984189935151937,AGUSAN DEL NORTE KITCHARAO
14,REGION XIIIAGUSAN DEL NORTELAS NIEVES,1311.0,REGION XIII,AGUSAN DEL NORTE,LAS NIEVES,2.0,28414.0,4735.666666666667,3806.666666666667,929.0,0.19617090166819173,6.0,22840.0,5574.0,0.19617090166819173,AGUSAN DEL NORTE LAS NIEVES
15,REGION XIIIAGUSAN DEL NORTEMAGALLANES,1312.0,REGION XIII,AGUSAN DEL NORTE,MAGALLANES,4.0,21007.0,3501.1666666666665,2514.1666666666665,987.0,0.2819060313228924,6.0,15085.0,5922.0,0.2819060313228924,AGUSAN DEL NORTE MAGALLANES
16,,,,,,,,,,,0.1820488574586387,,,,0.1820488574586387,AGUSAN DEL NORTE MAINIT LAKE
17,REGION XIIIAGUSAN DEL NORTENASIPIT,1313.0,REGION XIII,AGUSAN DEL NORTE,NASIPIT,3.0,41957.0,6992.833333333333,4642.0,2350.833333333333,0.3361775150749577,6.0,27852.0,14105.0,0.3361775150749577,AGUSAN DEL NORTE NASIPIT
18,REGION XIIIAGUSAN DEL NORTEREMEDIOS T. ROMUALDEZ,1314.0,REGION XIII,AGUSAN DEL NORTE,REMEDIOS T. ROMUALDEZ,5.0,16058.0,2676.3333333333335,2316.3333333333335,360.0,0.1345123925769087,6.0,13898.0,2160.0,0.1345123925769087,AGUSAN DEL NORTE REMEDIOS T. ROMUALDEZ
